┌────────────┬──────────┬──────────┬───────────────────────┬──────────────────────┬──────────┬──────────┬──────────────────────┬─────────────────────┐
│    date    │ min_prcp │ max_prcp │       avg_prcp        │       sum_prcp       │ min_snow │ max_snow │       avg_snow       │      sum_snow       │
│    date    │  double  │  double  │        double         │        double        │  double  │  double  │        double        │       double        │
├────────────┼──────────┼──────────┼───────────────────────┼──────────────────────┼──────────┼──────────┼──────────────────────┼─────────────────────┤
│ 2013-10-26 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-27 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-28 │      0.0 │     0.06 │  0.008571428571428572 │                 0.06 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-29 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-30 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-31 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-01 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-02 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-03 │      0.0 │     0.13 │  0.027142857142857142 │                 0.19 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-04 │      0.0 │     0.13 │  0.037142857142857144 │                 0.26 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-05 │      0.0 │     0.13 │  0.018571428571428572 │                 0.13 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-06 │      0.0 │     0.13 │  0.018571428571428572 │                 0.13 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-07 │      0.0 │     0.13 │  0.018571428571428572 │                 0.13 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-08 │      0.0 │     0.13 │  0.018571428571428572 │                 0.13 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-09 │      0.0 │     0.13 │  0.022857142857142857 │                 0.16 │      0.0 │      0.0 │                  0.0 │                 0.0 │
