┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2014-06-25 │  0.021428571428571432 │
│ 2014-06-26 │  0.021428571428571432 │
│ 2014-06-27 │  0.021428571428571432 │
│ 2014-06-28 │  0.021428571428571432 │
│ 2014-06-29 │   0.14714285714285716 │
│ 2014-06-30 │   0.39142857142857146 │
│ 2014-07-01 │    0.4114285714285715 │
│ 2014-07-02 │    0.4114285714285715 │
│ 2014-07-03 │    0.4114285714285715 │
│ 2014-07-04 │    0.4171428571428572 │
│ 2014-07-05 │    0.4728571428571429 │
│ 2014-07-06 │    0.3485714285714286 │
│ 2014-07-07 │   0.09428571428571429 │
│ 2014-07-08 │   0.07428571428571429 │
│ 2014-07-09 │   0.07428571428571429 │
│ 2014-07-10 │   0.07857142857142858 │
│ 2014-07-11 │   0.13857142857142857 │
│ 2014-07-12 │   0.26857142857142857 │
│ 2014-07-13 │    0.2557142857142857 │
│ 2014-07-14 │    0.2557142857142857 │
│ 2014-07-15 │    0.2557142857142857 │
│ 2014-07-16 │    0.2557142857142857 │
│ 2014-07-17 │   0.25142857142857145 │
│ 2014-07-18 │   0.18571428571428572 │
│ 2014-07-19 │                   0.0 │
│ 2014-07-20 │  0.027142857142857142 │
│ 2014-07-21 │  0.027142857142857142 │
│ 2014-07-22 │  0.027142857142857142 │
│ 2014-07-23 │  0.027142857142857142 │
│ 2014-07-24 │                  0.03 │
│ 2014-07-25 │   0.05714285714285715 │
│ 2014-07-26 │   0.05714285714285715 │
│ 2014-07-27 │                  0.03 │
│ 2014-07-28 │                  0.03 │
│ 2014-07-29 │                  0.03 │
│ 2014-07-30 │   0.08857142857142856 │
│ 2014-07-31 │   0.09571428571428571 │
│ 2014-08-01 │   0.06857142857142857 │
│ 2014-08-02 │   0.06857142857142857 │
│ 2014-08-03 │   0.06857142857142857 │
│ 2014-08-04 │   0.06857142857142857 │
│ 2014-08-05 │   0.06857142857142857 │
│ 2014-08-06 │                  0.01 │
│ 2014-08-07 │                   0.0 │
│ 2014-08-08 │                   0.0 │
│ 2014-08-09 │  0.027142857142857142 │
│ 2014-08-10 │   0.10285714285714286 │
│ 2014-08-11 │   0.10285714285714286 │
│ 2014-08-12 │   0.10285714285714286 │
│ 2014-08-13 │   0.10285714285714286 │
│ 2014-08-14 │   0.10428571428571429 │
│ 2014-08-15 │   0.10428571428571429 │
│ 2014-08-16 │   0.07714285714285715 │
│ 2014-08-17 │ 0.0014285714285714286 │
│ 2014-08-18 │   0.05142857142857143 │
│ 2014-08-19 │                  0.06 │
│ 2014-08-20 │   0.06142857142857143 │
│ 2014-08-21 │                  0.06 │
│ 2014-08-22 │                  0.06 │
│ 2014-08-23 │                  0.06 │
│ 2014-08-24 │                  0.06 │
│ 2014-08-25 │  0.009999999999999998 │
│ 2014-08-26 │ 0.0014285714285714286 │
│ 2014-08-27 │                   0.0 │
│ 2014-08-28 │   0.08857142857142856 │
│ 2014-08-29 │   0.08857142857142856 │
│ 2014-08-30 │   0.08857142857142856 │
│ 2014-08-31 │   0.08857142857142856 │
│ 2014-09-01 │   0.08857142857142856 │
│ 2014-09-02 │   0.08857142857142856 │
│ 2014-09-03 │   0.10428571428571429 │
│ 2014-09-04 │  0.015714285714285715 │
│ 2014-09-05 │  0.015714285714285715 │
│ 2014-09-06 │  0.015714285714285715 │
│ 2014-09-07 │  0.015714285714285715 │
│ 2014-09-08 │  0.015714285714285715 │
│ 2014-09-09 │  0.015714285714285715 │
│ 2014-09-10 │  0.037142857142857144 │
│ 2014-09-11 │  0.037142857142857144 │
│ 2014-09-12 │  0.037142857142857144 │
│ 2014-09-13 │                  0.09 │
│ 2014-09-14 │                  0.09 │
│ 2014-09-15 │                  0.09 │
│ 2014-09-16 │                  0.09 │
│ 2014-09-17 │   0.05285714285714286 │
│ 2014-09-18 │   0.07428571428571429 │
│ 2014-09-19 │   0.07428571428571429 │
│ 2014-09-20 │   0.02142857142857143 │
│ 2014-09-21 │   0.02142857142857143 │
│ 2014-09-22 │   0.06714285714285714 │
│ 2014-09-23 │   0.06714285714285714 │
│ 2014-09-24 │   0.06714285714285714 │
│ 2014-09-25 │  0.045714285714285714 │
│ 2014-09-26 │  0.045714285714285714 │
│ 2014-09-27 │  0.045714285714285714 │
│ 2014-09-28 │   0.04857142857142858 │
│ 2014-09-29 │  0.002857142857142857 │
│ 2014-09-30 │  0.002857142857142857 │
│ 2014-10-01 │   0.17142857142857143 │
│ 2014-10-02 │   0.17142857142857143 │
│ 2014-10-03 │   0.17142857142857143 │
│ 2014-10-04 │                  0.18 │
│ 2014-10-05 │   0.18285714285714286 │
│ 2014-10-06 │   0.18285714285714286 │
│ 2014-10-07 │   0.18285714285714286 │
│ 2014-10-08 │   0.06142857142857144 │
│ 2014-10-09 │   0.06142857142857144 │
│ 2014-10-10 │   0.06857142857142857 │
│ 2014-10-11 │                  0.06 │
│ 2014-10-12 │   0.15285714285714283 │
│ 2014-10-13 │    0.3114285714285714 │
│ 2014-10-14 │    0.3114285714285714 │
│ 2014-10-15 │    0.2642857142857143 │
│ 2014-10-16 │    0.2642857142857143 │
│ 2014-10-17 │    0.2571428571428572 │
│ 2014-10-18 │   0.27285714285714285 │
│ 2014-10-19 │   0.39000000000000007 │
│ 2014-10-20 │   0.31857142857142856 │
